,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_z,sub_z,rf
15,9789416,1697465332.6994,0.0,0.0,0.25,0.5,0.0,-0.4404103457927704,-0.4398254156112671,0.0,0.0,-0.4399999976158142,0,-60,,,
16,9889376,1697465332.79936,0.0,0.0,0.25,0.5,0.0,-0.506406307220459,-0.4926418960094452,0.0,0.0,-0.5600000023841858,0,-60,,,
17,9989336,1697465332.89932,0.0,0.0,0.25,0.5,0.0,-0.5724741220474243,-0.566226065158844,0.0,0.0,-0.5600000023841858,0,-61,,,
18,10089296,1697465332.9992802,0.0,0.0,0.25,0.5,0.0,-0.6392104625701904,-0.6223756670951843,0.0,0.0,-0.6800000071525574,0,-61,,,
19,10189256,1697465333.09924,0.0,0.0,0.25,0.5,0.0,-0.7054095268249512,-0.691806435585022,0.0,0.0,-0.6800000071525574,0,-62,,,
20,10289216,1697465333.1992,0.0,0.0,0.25,0.5,0.0,-0.7716637253761292,-0.7355731725692749,0.0,0.0,-0.7999999523162842,0,-62,,,
21,10390009,1697465333.299993,0.0,0.0,0.25,0.5,0.0,-0.8377659916877747,-0.8144283890724182,0.0,0.0,-0.7999999523162842,0,-62,,,
22,10489969,1697465333.3999531,0.0,0.0,0.25,0.5,0.0,-0.90301513671875,-0.8772233724594116,0.0,0.0,-0.9199999570846558,0,-62,,,
23,10589929,1697465333.4999132,0.0,0.0,0.25,0.5,0.0,-0.9683700203895568,-0.9223971366882324,0.0,0.0,-0.9199999570846558,0,-63,,,
24,10689889,1697465333.599873,0.0,0.0,0.25,0.5,0.0,-1.033036470413208,-0.9915378093719482,0.0,0.0,-1.0399999618530271,0,-63,,,
25,10789849,1697465333.6998332,0.0,0.0,0.25,0.5,0.0,-1.0970265865325928,-1.0475518703460691,0.0,0.0,-1.0399999618530271,0,-63,,,
26,10889809,1697465333.799793,0.0,0.0,0.25,0.5,0.0,-1.1603723764419556,-1.122291088104248,0.0,0.0,-1.1699999570846558,0,-63,,,
27,10989769,1697465333.899753,0.0,0.0,0.25,0.5,0.0,-1.2235671281814575,-1.1731505393981934,0.0,0.0,-1.1699999570846558,0,-63,,,
28,11089729,1697465333.9997132,0.0,0.0,0.25,0.5,0.0,-1.2864681482315063,-1.2350270748138428,0.0,0.0,-1.2899999618530271,0,-63,,,
29,11189689,1697465334.099673,0.0,0.0,0.25,0.5,0.0,-1.3489441871643066,-1.2979058027267456,0.0,0.0,-1.2899999618530271,0,-63,,,
30,11289649,1697465334.1996331,0.0,0.0,0.25,0.5,0.0,-1.4111262559890747,-1.3599202632904053,0.0,0.0,-1.409999966621399,0,-63,,,
31,11389609,1697465334.2995932,0.0,0.0,0.25,0.5,0.0,-1.4730892181396484,-1.4316877126693726,0.0,0.0,-1.409999966621399,0,-63,,,
32,11489569,1697465334.399553,0.0,0.0,0.25,0.5,0.0,-1.535346508026123,-1.4904775619506836,0.0,0.0,-1.5299999713897705,0,-63,,,
33,11589529,1697465334.4995131,0.0,0.0,0.25,0.5,0.0,-1.5977730751037598,-1.55308997631073,0.0,0.0,-1.5299999713897705,0,-63,,,
34,11689489,1697465334.599473,0.0,0.0,0.25,0.5,0.0,-1.660266995429993,-1.6247648000717163,0.0,0.0,-1.649999976158142,0,-63,,,
35,11789449,1697465334.699433,0.0,0.0,0.25,0.5,0.0,-1.7226969003677368,-1.668796181678772,0.0,0.0,-1.649999976158142,0,-63,,,
36,11889409,1697465334.7993932,0.0,0.0,0.25,0.5,0.0,-1.785233736038208,-1.747095823287964,0.0,0.0,-1.7699999809265137,0,-63,,,
37,11989369,1697465334.899353,0.0,0.0,0.25,0.5,0.0,-1.847927451133728,-1.807220220565796,0.0,0.0,-1.7699999809265137,0,-63,,,
38,12089329,1697465334.999313,0.0,0.0,0.25,0.5,0.0,-1.910830020904541,-1.871894121170044,0.0,0.0,-1.8899999856948853,0,-63,,,
39,12189289,1697465335.0992732,0.0,0.0,0.25,0.5,0.0,-1.9744529724121092,-1.9293009042739868,0.0,0.0,-1.8899999856948853,0,-63,,,
40,12289249,1697465335.199233,0.0,0.0,0.25,0.5,0.0,-2.037447452545166,-1.98517382144928,0.0,0.0,-2.009999990463257,0,-63,,,
41,12389209,1697465335.2991931,0.0,0.0,0.25,0.5,0.0,-2.1000399589538574,-2.04844069480896,0.0,0.0,-2.009999990463257,0,-63,,,
42,12490002,1697465335.399986,0.0,0.0,0.25,0.5,0.0,-2.162825107574463,-2.1169021129608154,0.0,0.0,-2.129999876022339,0,-63,,,
43,12589962,1697465335.499946,0.0,0.0,0.25,0.5,0.0,-2.225127935409546,-2.1795058250427246,0.0,0.0,-2.129999876022339,0,-63,,,
44,12689922,1697465335.5999062,0.0,0.0,0.25,0.5,0.0,-2.287287712097168,-2.23615837097168,0.0,0.0,-2.25,0,-63,,,
45,12789882,1697465335.699866,0.0,0.0,0.25,0.5,0.0,-2.348975419998169,-2.2972304821014404,0.0,0.0,-2.25,0,-63,,,
46,12889842,1697465335.799826,0.0,0.0,0.25,0.5,0.0,-2.4101619720458984,-2.3568637371063232,0.0,0.0,-2.369999885559082,0,-63,,,
47,12989802,1697465335.899786,0.0,0.0,0.25,0.5,0.0,-2.4708950519561768,-2.420248031616211,0.0,0.0,-2.369999885559082,0,-62,,,
48,13089762,1697465335.999746,0.0,0.0,0.25,0.5,0.0,-2.531342029571533,-2.466818332672119,0.0,0.0,-2.490000009536743,0,-62,,,
49,13189722,1697465336.099706,0.0,0.0,0.25,0.5,0.0,-2.5911192893981934,-2.546621561050415,0.0,0.0,-2.490000009536743,0,-62,,,
50,13289682,1697465336.199666,0.0,0.0,0.25,0.5,0.0,-2.6508803367614746,-2.609583139419556,0.0,0.0,-2.609999895095825,0,-62,,,
51,13389642,1697465336.299626,0.0,0.0,0.25,0.5,0.0,-2.7111175060272217,-2.657708168029785,0.0,0.0,-2.609999895095825,0,-62,,,
52,13489602,1697465336.3995862,0.0,0.0,0.25,0.5,0.0,-2.771228313446045,-2.729891538619995,0.0,0.0,-2.7300000190734863,0,-62,,,
53,13589562,1697465336.499546,0.0,0.0,0.25,0.5,0.0,-2.8314080238342285,-2.787421941757202,0.0,0.0,-2.7300000190734863,0,-61,,,
54,13689522,1697465336.599506,0.0,0.0,0.25,0.5,0.0,-2.8917415142059326,-2.8541622161865234,0.0,0.0,-2.8499999046325684,0,-61,,,
55,13789482,1697465336.6994662,0.0,0.0,0.25,0.5,0.0,-2.952328681945801,-2.9067163467407227,0.0,0.0,-2.8499999046325684,0,-61,,,
56,13889442,1697465336.799426,0.0,0.0,0.25,0.5,0.0,-3.0123631954193115,-2.9671006202697754,0.0,0.0,-2.9800000190734863,0,-61,,,
57,13989402,1697465336.899386,0.0,0.0,0.25,0.5,0.0,-3.07267165184021,-3.028195858001709,0.0,0.0,-2.9800000190734863,0,-61,,,
58,14089362,1697465336.999346,0.0,0.0,0.25,0.5,0.0,-3.132793426513672,-3.0910611152648926,0.0,0.0,-3.0999999046325684,0,-61,,,
59,14189322,1697465337.099306,0.0,0.0,0.25,0.5,0.0,-3.192868947982788,-3.159976959228516,0.0,0.0,-3.0999999046325684,0,-61,,,
60,14289282,1697465337.1992662,0.0,0.0,0.25,0.5,0.0,-3.2537920475006104,-3.221351146697998,0.0,0.0,-3.220000028610229,0,-61,,,
61,14389242,1697465337.299226,0.0,0.0,0.25,0.5,0.0,-3.314687490463257,-3.2782835960388184,0.0,0.0,-3.220000028610229,0,-61,,,
62,14489202,1697465337.399186,0.0,0.0,0.25,0.5,0.0,-3.375800371170044,-3.348489284515381,0.0,0.0,-3.3399999141693115,0,-61,,,
63,14589995,1697465337.499979,0.0,0.0,0.25,0.5,0.0,-3.4378819465637207,-3.4021804332733154,0.0,0.0,-3.3399999141693115,0,-61,,,
64,14689955,1697465337.599939,0.0,0.0,0.25,0.5,0.0,-3.4995639324188232,-3.475778818130493,0.0,0.0,-3.4600000381469727,0,-61,,,
65,14789915,1697465337.6998992,0.0,0.0,0.25,0.5,0.0,-3.561797380447388,-3.5235259532928467,0.0,0.0,-3.4600000381469727,0,-61,,,
66,14889875,1697465337.799859,0.0,0.0,0.25,0.5,0.0,-3.62397050857544,-3.5853211879730225,0.0,0.0,-3.5799999237060547,0,-61,,,
67,14989835,1697465337.8998191,0.0,0.0,0.25,0.5,0.0,-3.6859071254730233,-3.656022787094116,0.0,0.0,-3.5799999237060547,0,-61,,,
68,15089795,1697465337.9997792,0.0,0.0,0.25,0.5,0.0,-3.748084306716919,-3.7171356678009033,0.0,0.0,-3.6999998092651367,0,-61,,,
69,15189755,1697465338.099739,0.0,0.0,0.25,0.5,0.0,-3.810513496398926,-3.7808139324188232,0.0,0.0,-3.6999998092651367,0,-61,,,
70,15289715,1697465338.1996992,0.0,0.0,0.25,0.5,0.0,-3.873233556747437,-3.832033634185791,0.0,0.0,-3.819999933242798,0,-61,,,
71,15389675,1697465338.299659,0.0,0.0,0.25,0.5,0.0,-3.935687780380249,-3.892323732376098,0.0,0.0,-3.819999933242798,0,-61,,,
72,15489635,1697465338.399619,0.0,0.0,0.25,0.5,0.0,-3.997714042663574,-3.96457839012146,0.0,0.0,-3.93999981880188,0,-61,,,
73,15589595,1697465338.4995792,0.0,0.0,0.25,0.5,0.0,-4.059891223907471,-4.029280185699463,0.0,0.0,-3.93999981880188,0,-61,,,
74,15689555,1697465338.599539,0.0,0.0,0.25,0.5,0.0,-4.122445106506348,-4.095900058746338,0.0,0.0,-4.059999942779541,0,-61,,,
75,15789515,1697465338.6994991,0.0,0.0,0.25,0.5,0.0,-4.185507774353027,-4.155374050140381,0.0,0.0,-4.059999942779541,0,-61,,,
76,15889475,1697465338.7994592,0.0,0.0,0.25,0.5,0.0,-4.24885368347168,-4.21314811706543,0.0,0.0,-4.179999828338623,0,-62,,,
77,15989435,1697465338.899419,0.0,0.0,0.25,0.5,0.0,-4.311608791351318,-4.261772155761719,0.0,0.0,-4.179999828338623,0,-62,,,
78,16089395,1697465338.9993792,0.0,0.0,0.25,0.5,0.0,-4.374129295349121,-4.331053256988525,0.0,0.0,-4.299999713897705,0,-62,,,
79,16189355,1697465339.099339,0.0,0.0,0.25,0.5,0.0,-4.4362473487854,-4.402703285217285,0.0,0.0,-4.299999713897705,0,-62,,,
80,16289315,1697465339.199299,0.0,0.0,0.25,0.5,0.0,-4.498620986938477,-4.4488067626953125,0.0,0.0,-4.420000076293945,0,-62,,,
81,16389275,1697465339.2992592,0.0,0.0,0.25,0.5,0.0,-4.561090469360352,-4.524149417877197,0.0,0.0,-4.420000076293945,0,-62,,,
82,16489235,1697465339.399219,0.0,0.0,0.25,0.5,0.0,-4.622842311859131,-4.573720455169678,0.0,0.0,-4.539999961853027,0,-62,,,
83,16589195,1697465339.4991791,0.0,0.0,0.25,0.5,0.0,-4.684056758880615,-4.648733139038086,0.0,0.0,-4.539999961853027,0,-62,,,
