timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1705603234.30004025,8368318,0.21768760681152344,0.0,0.0845271497964859,0.5,-0.15070049464702606,-0.06907577067613602,-0.08447305113077164,-0.01,0.0,0.0,-27,-3
1705603234.40000010,8468278,-0.08347058296203613,0.0,0.005064861383289099,0.5,-0.15342290699481964,-0.07644706219434738,-0.09631696343421936,-0.01,0.0,0.0,-25,-3
1705603234.49996018,8568238,-0.20639526844024658,0.0,0.0,0.5,-0.15612640976905823,-0.08364542573690414,-0.10625478625297546,-0.01,0.0,0.0,-25,-3
1705603234.59992027,8668198,-0.5421977043151855,0.0,0.0,0.5,-0.1637931615114212,-0.09100206941366196,-0.1075422540307045,-0.01,0.0,0.0,-34,-3
1705603234.69988012,8768158,-0.8290868997573853,0.0,0.0,0.5,-0.18300750851631165,-0.09819792211055756,-0.1179918721318245,-0.01,0.0,0.0,-50,-3
1705603234.79984021,8868118,-0.4212843179702759,0.0,0.0,0.5,-0.20854005217552185,-0.10651583224534988,-0.10903778672218323,-0.01,0.0,0.0,-65,-17
1705603234.89980006,8968078,0.25417453050613403,0.0,0.12398173660039902,0.5,-0.2435292750597,-0.1522863507270813,-0.1483147293329239,-0.01,0.0,0.0,-70,-57
1705603234.99976015,9068038,0.24380207061767578,0.0,0.18209552764892578,0.5,-0.2906939387321472,-0.21974804997444153,-0.21233578026294708,-0.01,0.0,0.0,-72,-69
1705603235.09972024,9167998,0.2130567729473114,0.0,0.19660302996635437,0.5,-0.3453320264816284,-0.294184148311615,-0.2912811040878296,-0.01,0.0,0.0,-73,-72
1705603235.19968009,9267958,0.2009953260421753,0.0,0.19813260436058044,0.5,-0.40633687376976013,-0.3713741898536682,-0.37042489647865295,-0.01,0.0,0.0,-74,-73
1705603235.29964018,9367918,0.19614768028259277,0.0,0.19598302245140076,0.5,-0.4727659225463867,-0.45040175318717957,-0.4301506578922272,-0.01,0.0,0.0,-75,-74
1705603235.39960027,9467878,0.18840840458869934,0.0,0.19198064506053925,0.5,-0.5438158512115479,-0.5301909446716309,-0.5102527141571045,-0.01,0.0,0.0,-77,-75
1705603235.49956012,9567838,0.18160590529441833,0.0,0.18617942929267883,0.5,-0.6188023686408997,-0.6106226444244385,-0.6012093424797058,-0.01,0.0,0.0,-79,-76
1705603235.59952021,9667798,0.17544320225715637,0.0,0.17991936206817627,0.5,-0.6971426606178284,-0.6927604675292969,-0.672268807888031,-0.01,0.0,0.0,-81,-78
1705603235.69948006,9767758,0.17030903697013855,0.0,0.1743909865617752,0.5,-0.7783401608467102,-0.7766112089157104,-0.7385777831077576,-0.01,0.0,0.0,-83,-80
1705603235.79944015,9867718,0.16316160559654236,0.0,0.16871434450149536,0.5,-0.8619714379310608,-0.8612404465675354,-0.8336240649223328,-0.01,0.0,0.0,-84,-81
1705603235.89940023,9967678,0.15758183598518372,0.0,0.16241097450256348,0.5,-0.947676420211792,-0.947079598903656,-0.911531388759613,-0.01,0.0,0.0,-86,-83
1705603235.99936008,10067638,0.1523818075656891,0.0,0.15670663118362427,0.5,-1.0351479053497314,-1.0343356132507324,-0.9949673414230347,-0.01,0.0,0.0,-88,-85
1705603236.09932017,10167598,0.1479610800743103,0.0,0.15189331769943237,0.5,-1.1241246461868286,-1.1227599382400513,-1.0811415910720825,-0.01,0.0,0.0,-90,-86
1705603236.19928026,10267558,0.1436806619167328,0.0,0.14690828323364258,0.5,-1.2143834829330444,-1.2122703790664673,-1.1582812070846558,-0.01,0.0,0.0,-91,-88
1705603236.29924011,10367518,0.13791009783744812,0.0,0.1421540081501007,0.5,-1.3057342767715454,-1.3024386167526245,-1.2392793893814087,-0.01,0.0,0.0,-92,-89
1705603236.40003324,10468311,0.13228115439414978,0.0,0.13690073788166046,0.5,-1.3987884521484375,-1.39362633228302,-1.328912615776062,-0.01,0.0,0.0,-94,-90
1705603236.49999309,10568271,0.12580496072769165,0.0,0.13090960681438446,0.5,-1.4918692111968994,-1.4837801456451416,-1.43026864528656,-0.01,0.0,0.0,-95,-92
1705603236.59995317,10668231,0.12243562936782837,0.0,0.1259622424840927,0.5,-1.585624098777771,-1.5760701894760132,-1.5194244384765625,-0.01,0.0,0.0,-96,-93
1705603236.69991326,10768191,0.12051516771316528,0.0,0.12266763299703598,0.5,-1.6799535751342773,-1.6697919368743896,-1.6051857471466064,-0.01,0.0,0.0,-97,-94
1705603236.79987311,10868151,0.11710882186889648,0.0,0.12017375975847244,0.5,-1.7747725248336792,-1.7642606496810913,-1.6879758834838867,-0.01,0.0,0.0,-98,-95
1705603236.89983320,10968111,0.11516740918159485,0.0,0.11814866960048676,0.5,-1.8700087070465088,-1.8595210313796997,-1.7849059104919434,-0.01,0.0,0.0,-98,-96
1705603236.99979305,11068071,0.10886943340301514,0.0,0.11418415606021881,0.5,-1.9656000137329102,-1.953971028327942,-1.9016988277435303,-0.01,0.0,0.0,-99,-96
1705603237.09975314,11168031,0.1105203628540039,0.0,0.11144888401031494,0.5,-2.0614941120147705,-2.0496623516082764,-1.9793685674667358,-0.01,0.0,0.0,-99,-97
1705603237.19971323,11267991,0.10701847076416016,0.0,0.10989652574062347,0.5,-2.1576449871063232,-2.1461081504821777,-2.083216667175293,-0.01,0.0,0.0,-99,-98
1705603237.29967308,11367951,0.1110009253025055,0.0,0.1088147684931755,0.5,-2.254016399383545,-2.2429511547088623,-2.1784143447875977,-0.01,0.0,0.0,-99,-98
1705603237.39963317,11467911,0.10904690623283386,0.0,0.10912875086069107,0.5,-2.3505754470825195,-2.340169668197632,-2.269883632659912,-0.01,0.0,0.0,-99,-98
1705603237.49959326,11567871,0.1074100136756897,0.0,0.10821495205163956,0.5,-2.447293281555176,-2.4373483657836914,-2.368730068206787,-0.01,0.0,0.0,-99,-98
1705603237.59955311,11667831,0.10360297560691833,0.0,0.10755394399166107,0.5,-2.5441465377807617,-2.53446626663208,-2.457538366317749,-0.01,0.0,0.0,-99,-98
1705603237.69951320,11767791,0.10547015070915222,0.0,0.10563995689153671,0.5,-2.641115665435791,-2.6312897205352783,-2.5693318843841553,-0.01,0.0,0.0,-100,-98
1705603237.79947305,11867751,0.10504347085952759,0.0,0.10478256642818451,0.5,-2.7381834983825684,-2.728482961654663,-2.6658873558044434,-0.01,0.0,0.0,-100,-99
1705603237.89943314,11967711,0.10330507159233093,0.0,0.10369649529457092,0.5,-2.835336208343506,-2.8263046741485596,-2.757188320159912,-0.01,0.0,0.0,-99,-99
1705603237.99939322,12067671,0.10501596331596375,0.0,0.10387374460697174,0.5,-2.9325602054595947,-2.92421555519104,-2.8580827713012695,-0.01,0.0,0.0,-99,-99
1705603238.09935308,12167631,0.10453939437866211,0.0,0.10448546707630157,0.5,-3.0298449993133545,-3.022092819213867,-2.964508056640625,-0.01,0.0,0.0,-99,-99
1705603238.19931316,12267591,0.10476741194725037,0.0,0.10482212901115417,0.5,-3.127181053161621,-3.120278835296631,-3.0535402297973633,-0.01,0.0,0.0,-99,-99
1705603238.29927325,12367551,0.10586309432983398,0.0,0.10518300533294678,0.5,-3.2245616912841797,-3.21846866607666,-3.1563098430633545,-0.01,0.0,0.0,-99,-99
1705603238.39923310,12467511,0.10450103878974915,0.0,0.10551179945468903,0.5,-3.3219802379608154,-3.3166072368621826,-3.246100902557373,-0.01,0.0,0.0,-99,-98
1705603238.50002623,12568304,0.10567042231559753,0.0,0.1057145893573761,0.5,-3.42024302482605,-3.4143147468566895,-3.3488545417785645,-0.01,0.0,0.0,-99,-98
1705603238.59998608,12668264,0.10290542244911194,0.0,0.10528266429901123,0.5,-3.517720937728882,-3.511993408203125,-3.4453628063201904,-0.01,0.0,0.0,-99,-98
1705603238.69994617,12768224,0.10461905598640442,0.0,0.10436644405126572,0.5,-3.615222692489624,-3.609733819961548,-3.551051616668701,-0.01,0.0,0.0,-99,-98
1705603238.79990625,12868184,0.10884058475494385,0.0,0.10508605092763901,0.5,-3.7127437591552734,-3.7078747749328613,-3.65484619140625,-0.01,0.0,0.0,-99,-98
1705603238.89986610,12968144,0.10726451873779297,0.0,0.10650825500488281,0.5,-3.8102827072143555,-3.8065855503082275,-3.7557692527770996,-0.01,0.0,0.0,-98,-98
1705603238.99982619,13068104,0.10649985074996948,0.0,0.10774968564510345,0.5,-3.907835006713867,-3.9065093994140625,-3.8365137577056885,-0.01,0.0,0.0,-97,-98
1705603239.09978628,13168064,0.10915935039520264,0.0,0.10935249924659729,0.5,-4.00540018081665,-4.004953861236572,-3.9360547065734863,-0.01,0.0,0.0,-97,-98
1705603239.19974613,13268024,0.10986554622650146,0.0,0.10936036705970764,0.5,-4.102974891662598,-4.102694988250732,-4.035189151763916,-0.01,0.0,0.0,-97,-97
1705603239.29970622,13367984,0.11085614562034607,0.0,0.10943249613046646,0.5,-4.200557708740234,-4.200080394744873,-4.130695819854736,-0.01,0.0,0.0,-97,-97
1705603239.39966607,13467944,0.1077130138874054,0.0,0.10916726291179657,0.5,-4.29815149307251,-4.2972564697265625,-4.219224452972412,-0.01,0.0,0.0,-97,-97
1705603239.49962616,13567904,0.1059424877166748,0.0,0.10763361304998398,0.5,-4.39574670791626,-4.393922805786133,-4.33546781539917,-0.01,0.0,0.0,-98,-97
1705603239.59958625,13667864,0.10866531729698181,0.0,0.10702358186244965,0.5,-4.493353366851807,-4.491150379180908,-4.433159351348877,-0.01,0.0,0.0,-98,-98
1705603239.69954610,13767824,0.10929089784622192,0.0,0.10752959549427032,0.5,-4.59096097946167,-4.58912992477417,-4.518232822418213,-0.01,0.0,0.0,-98,-98
1705603239.79950619,13867784,0.10327985882759094,0.0,0.10718777030706406,0.5,-4.688570499420166,-4.686933517456055,-4.614683628082275,-0.01,0.0,0.0,-98,-98
1705603239.89946628,13967744,0.10630849003791809,0.0,0.10656006634235382,0.5,-4.786190032958984,-4.784364223480225,-4.712814807891846,-0.01,0.0,0.0,-98,-98
1705603239.99942613,14067704,0.10723420977592468,0.0,0.10608164966106415,0.5,-4.883810043334961,-4.881579875946045,-4.8306355476379395,-0.01,0.0,0.0,-98,-98
1705603240.09938622,14167664,0.10790988802909851,0.0,0.10680583119392395,0.5,-4.981429576873779,-4.979676246643066,-4.908934116363525,-0.01,0.0,0.0,-98,-98
1705603240.19934607,14267624,0.10461759567260742,0.0,0.10752040147781372,0.5,-5.079049110412598,-5.077691555023193,-5.019134998321533,-0.01,0.0,0.0,-98,-98
1705603240.29930615,14367584,0.10718175768852234,0.0,0.10722213238477707,0.5,-5.176675796508789,-5.175786018371582,-5.114085674285889,-0.01,0.0,0.0,-97,-98
1705603240.39926624,14467544,0.1096436083316803,0.0,0.10859894007444382,0.5,-5.274307727813721,-5.273926258087158,-5.21718692779541,-0.01,0.0,0.0,-97,-97
1705603240.49922609,14567504,0.10744765400886536,0.0,0.10894842445850372,0.5,-5.371939659118652,-5.372206687927246,-5.296606540679932,-0.01,0.0,0.0,-97,-97
1705603240.60001922,14668297,0.10805356502532959,0.0,0.10952013731002808,0.5,-5.4703850746154785,-5.46973991394043,-5.399964332580566,-0.01,0.0,0.0,-97,-97
1705603240.69997907,14768257,0.10255882143974304,0.0,0.10828462988138199,0.5,-5.56801700592041,-5.566437721252441,-5.49798059463501,-0.01,0.0,0.0,-98,-97
1705603240.79993916,14868217,0.10374358296394348,0.0,0.10568246990442276,0.5,-5.665648937225342,-5.662646770477295,-5.596279621124268,-0.01,0.0,0.0,-98,-97
1705603240.89989924,14968177,0.1023777425289154,0.0,0.10389702022075653,0.5,-5.763280868530273,-5.758872032165527,-5.696290493011475,-0.01,0.0,0.0,-98,-98
1705603240.99985909,15068137,0.10169470310211182,0.0,0.10220517963171005,0.5,-5.860912322998047,-5.856287479400635,-5.790225505828857,-0.01,0.0,0.0,-99,-98
1705603241.09981918,15168097,0.10041630268096924,0.0,0.10134237259626389,0.5,-5.9585442543029785,-5.953174114227295,-5.897929668426514,-0.01,0.0,0.0,-99,-98
1705603241.19977927,15268057,0.10112780332565308,0.0,0.10061419010162354,0.5,-6.05617618560791,-6.050604343414307,-5.99840784072876,-0.01,0.0,0.0,-99,-98
1705603241.29973912,15368017,0.10090652108192444,0.0,0.1005232036113739,0.5,-6.153808116912842,-6.148730278015137,-6.0994648933410645,-0.01,0.0,0.0,-99,-98
1705603241.39969921,15467977,0.10263949632644653,0.0,0.10181887447834015,0.5,-6.251440048217773,-6.247408866882324,-6.192884922027588,-0.01,0.0,0.0,-98,-98
1705603241.49965906,15567937,0.10419654846191406,0.0,0.10294372588396072,0.5,-6.349071502685547,-6.346134662628174,-6.281691074371338,-0.01,0.0,0.0,-98,-98
1705603241.59961915,15667897,0.10408273339271545,0.0,0.10363038629293442,0.5,-6.4467034339904785,-6.444247245788574,-6.387529373168945,-0.01,0.0,0.0,-98,-98
1705603241.69957924,15767857,0.10396021604537964,0.0,0.10355914384126663,0.5,-6.54433536529541,-6.542006492614746,-6.503189563751221,-0.01,0.0,0.0,-98,-98
