TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
57799356,-2000.0,-1110.1000000000001,886,100
57998330,-2000.0,-1110.1000000000001,896,100
58093829,-2000.0,-1110.1000000000001,886,100
58199364,-2000.0,-1109.9976352920532,884,100
58295555,-2000.0,-1109.9014448394776,889,100
58400368,-2000.0,-1109.8485726731335,893,100
58497434,-2000.0,-1109.8002811678607,891,100
58600373,-2000.0,-1110.0047464370728,878,100
58799536,-2000.0,-1110.5046091079712,888,100
58894542,-2000.0,-1110.7896270751955,886,100
58998360,-2000.0,-1111.101081249237,903,100
59094031,-2000.0,-1111.3880947799685,896,100
59198429,-2000.0,-1111.702801249135,894,100
59292958,-2000.0,-1111.9878152051763,888,100
59398416,-2000.0,-1112.2535405158997,889,100
59598489,-2000.0,-1112.8044674873354,892,100
59695546,-2000.0,-1113.0956395149233,896,100
59789883,-2000.0,-1113.3322075366975,886,100
59798523,-2000.0,-1113.3538087368013,895,100
59893486,-2000.0,-1113.5912164211275,893,100
59999356,-2000.0,-1113.8047121047973,884,100
60199373,-2000.0,-1114.3583065185546,889,100
60295177,-2000.0,-1114.693621269226,891,100
60399360,-2000.0,-1115.0564790621327,888,100
60498306,-2000.0,-1115.4012241363525,885,100
60599523,-2000.0,-1115.8060939788818,884,100
60799532,-2000.0,-1116.5045962333681,884,100
60893478,-2000.0,-1116.7864341735842,890,100
60986715,-2000.0,-1116.977431869507,890,100
60999038,-2000.0,-1117.0020769577027,879,100
61198489,-2000.0,-1117.3009941331106,886,100
61293546,-2000.0,-1117.3965292964149,878,100
61398562,-2000.0,-1117.6539052963258,875,100
61492945,-2000.0,-1117.889864587784,883,100
61598660,-2000.0,-1118.103321647644,885,100
61696220,-2000.0,-1118.2984405517577,884,100
61798467,-2000.0,-1118.4522015571595,878,100
61998497,-2000.0,-1118.7522466182709,876,100
62094237,-2000.0,-1118.8958563804626,883,100
62188170,-2000.0,-1118.9,878,100
62199665,-2000.0,-1118.9,879,100
62399493,-2000.0,-1118.798016463702,880,100
62495010,-2000.0,-1118.7029749894023,883,100
62599557,-2000.0,-1118.5476632595062,879,100
62694134,-2000.0,-1118.4057980060577,885,100
62799510,-2000.0,-1118.2984893798828,893,100
62894430,-2000.0,-1118.2035692214968,877,100
63000287,-2000.0,-1118.046568918228,872,100
63198347,-2000.0,-1117.6993049163818,884,100
63292130,-2000.0,-1117.5117391128542,881,100
63387183,-2000.0,-1117.2759205037028,884,100
63399377,-2000.0,-1117.2452826380131,875,100
63598334,-2000.0,-1116.6959959983826,876,100
63694593,-2000.0,-1116.4072186470032,889,100
63798343,-2000.0,-1116.095970249176,886,100
63893306,-2000.0,-1115.8110810279845,884,100
63998368,-2000.0,-1115.4958930015564,888,100
64092842,-2000.0,-1115.212471485138,887,100
64198338,-2000.0,-1114.845313644409,887,100
64399454,-2000.0,-1114.0901806793213,884,100
64493774,-2000.0,-1113.7129033050537,898,100
64590664,-2000.0,-1113.280608299597,882,100
64600287,-2000.0,-1113.23751915889,882,100
64800497,-2000.0,-1112.3900093078614,887,100
64896984,-2000.0,-1112.0040630340577,891,100
64999420,-2000.0,-1111.8478692531587,880,100
65094683,-2000.0,-1111.7049740314485,893,100
65198351,-2000.0,-1111.6498240833282,887,100
65293340,-2000.0,-1111.6023296718597,882,100
65398338,-2000.0,-1111.5495784126933,877,100
65598489,-2000.0,-1111.5,888,100
65694520,-2000.0,-1111.5,889,100
65791123,-2000.0,-1111.5,882,100
65798635,-2000.0,-1111.5,888,100
65998502,-2000.0,-1111.5,883,100
66094194,-2000.0,-1111.5,880,100
66198433,-2000.0,-1111.3985666275023,889,100
