,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_z,sub_z,rf
0,12234271,1678467045.219992,0.0,0.0,0.5,0.5,0.0,-0.2559021115303039,-0.2052363753318786,0.0,0.0,0.0,0,2,,,
1,12334231,1678467045.319952,0.0,0.0,0.5,0.5,0.0,-0.258287101984024,-0.2598285973072052,0.0,0.0,0.0,0,2,,,
2,12434191,1678467045.419912,0.0,0.0,0.5,0.5,0.0,-0.2582931518554687,-0.2046269178390503,0.0,0.0,0.0,0,2,,,
3,12534151,1678467045.519872,0.0,0.0,0.5,0.5,0.0,-0.2548253834247589,-0.4158107340335846,0.0,0.0,0.0,0,2,,,
4,12634111,1678467045.619832,0.0,0.0,0.5,0.5,0.0,-0.2580755949020386,-0.0610140301287174,0.0,0.0,0.0,0,2,,,
5,12734071,1678467045.719792,0.0,0.0,0.5,0.5,0.0,-0.2526032626628876,-0.3724473714828491,0.0,0.0,0.0,0,2,,,
6,12834031,1678467045.8197522,0.0,0.0,0.5,0.5,0.0,-0.2505574226379394,-0.4537304639816284,0.0,0.0,0.0,0,2,,,
7,12933991,1678467045.919712,0.0,0.0,0.5,0.5,0.0,-0.2591691017150879,-0.1372361332178115,0.0,0.0,0.0,0,1,,,
8,13033951,1678467046.019672,0.0,0.0,0.5,0.5,0.0,-0.2617176473140716,-0.0911367982625961,0.0,0.0,0.0,0,1,,,
9,13133911,1678467046.119632,0.0,0.0,0.5,0.5,0.0,-0.2533315420150757,-0.0625653713941574,0.0,0.0,0.0,0,2,,,
10,13233871,1678467046.219592,0.0,0.0,0.5,0.5,0.0,-0.2354701161384582,-0.3243431150913238,0.0,0.0,0.0,0,3,,,
11,13333831,1678467046.319552,0.0,0.0,0.5,0.5,0.0,-0.2232207804918289,-0.0866350457072258,0.0,0.0,0.0,0,4,,,
12,13433791,1678467046.419512,0.0,0.0,0.5,0.5,0.0,-0.2082793712615966,-0.1831317692995071,0.0,0.0,0.0,0,5,,,
13,13533751,1678467046.519472,0.0,0.0,0.5,0.5,0.0,-0.193205252289772,-0.1628762781620025,0.0,0.0,0.0,0,5,,,
14,13633711,1678467046.6194322,0.0,0.0,0.5,0.5,0.0,-0.1790847331285476,-0.1427941620349884,0.0,0.0,0.0,0,6,,,
15,13733671,1678467046.719392,0.0,0.0,0.5,0.5,0.0,-0.1650607883930206,-0.1740453541278839,0.0,0.0,0.0,0,7,,,
16,13833631,1678467046.819352,0.0,0.0,0.5,0.5,0.0,-0.1528802961111068,-0.1290322095155716,0.0,0.0,0.0,0,7,,,
17,13933591,1678467046.919312,0.0,0.0,0.5,0.5,0.0,-0.1409469991922378,-0.0841477960348129,0.0,0.0,0.0,0,7,,,
18,14033551,1678467047.019272,0.0,0.0,0.5,0.5,0.0,-0.1270485669374466,-0.2619658708572387,0.0,0.0,0.0,0,8,,,
19,14133511,1678467047.119232,0.0,0.0,0.5,0.5,0.0,-0.1199433505535125,-0.2830767631530761,0.0,0.0,0.0,0,8,,,
20,14233471,1678467047.219192,0.0,0.0,0.5,0.5,0.0,-0.1215624585747718,-0.3283912539482116,0.0,0.0,0.0,0,7,,,
21,14334264,1678467047.3199852,0.0,0.0,0.5,0.5,0.0,-0.1318269222974777,-0.0563392862677574,0.0,0.0,0.0,0,5,,,
22,14434224,1678467047.419945,0.0,0.0,0.5,0.5,0.0,-0.1370484679937362,-0.3076662123203277,0.0,0.0,0.0,0,5,,,
23,14534184,1678467047.519905,0.0,0.0,0.5,0.5,0.0,-0.1448560059070587,-0.0853435918688774,0.0,0.0,0.0,0,-1,,,
24,14634144,1678467047.6198652,0.0,0.0,0.5,0.5,0.0,-0.1546978205442428,-0.106708787381649,0.0,0.0,0.0,0,-1,,,
25,14734104,1678467047.719825,0.0,0.0,0.5,0.5,0.0,-0.1585858166217804,-0.3897130191326141,0.0,0.0,0.0,0,-1,,,
