TimeUS,terrain_z,sub_z,rf
73356000,-20.0,-10.565820693969727,9.339179306030273
73356000,-20.0,-10.565820693969727,9.339179306030273
73606000,-20.0,-10.536938667297363,9.368061332702636
73606000,-20.0,-10.536938667297363,9.368061332702636
73856000,-20.0,-10.530418395996094,9.374581604003906
73856000,-20.0,-10.530418395996094,9.374581604003906
73856000,-20.0,-10.530418395996094,9.374581604003906
74106000,-20.0,-10.543598175048828,9.361401824951171
74106000,-20.0,-10.543598175048828,9.361401824951171
74356000,-20.0,-10.554100036621094,9.350899963378906
74356000,-20.0,-10.554100036621094,9.350899963378906
74356000,-20.0,-10.554100036621094,9.350899963378906
74608000,-20.0,-10.526311874389648,9.378688125610351
74608000,-20.0,-10.526311874389648,9.378688125610351
74856000,-20.0,-10.509703636169434,9.395296363830566
74856000,-20.0,-10.509703636169434,9.395296363830566
75106000,-20.0,-10.464888572692871,9.440111427307128
75106000,-20.0,-10.464888572692871,9.440111427307128
75106000,-20.0,-10.464888572692871,9.440111427307128
75356000,-20.0,-10.438371658325195,9.466628341674804
75356000,-20.0,-10.438371658325195,9.466628341674804
75606000,-20.0,-10.426706314086914,9.478293685913085
75606000,-20.0,-10.426706314086914,9.478293685913085
75606000,-20.0,-10.426706314086914,9.478293685913085
75856000,-20.0,-10.389422416687012,9.515577583312988
75856000,-20.0,-10.389422416687012,9.515577583312988
76106000,-20.0,-10.376287460327148,9.528712539672851
76106000,-20.0,-10.376287460327148,9.528712539672851
76106000,-20.0,-10.376287460327148,9.528712539672851
76356000,-20.0,-10.361198425292969,9.54380157470703
76356000,-20.0,-10.361198425292969,9.54380157470703
76606000,-20.0,-10.330681800842285,9.574318199157714
76606000,-20.0,-10.330681800842285,9.574318199157714
76856000,-20.0,-10.307133674621582,9.597866325378417
76856000,-20.0,-10.307133674621582,9.597866325378417
76856000,-20.0,-10.307133674621582,9.597866325378417
77106000,-20.0,-10.279212951660156,9.625787048339843
77106000,-20.0,-10.279212951660156,9.625787048339843
77356000,-20.0,-10.2753324508667,9.6296675491333
77356000,-20.0,-10.2753324508667,9.6296675491333
77356000,-20.0,-10.2753324508667,9.6296675491333
77606000,-20.0,-10.285040855407715,9.619959144592285
77606000,-20.0,-10.285040855407715,9.619959144592285
77856000,-20.0,-10.275899887084961,9.629100112915038
77856000,-20.0,-10.275899887084961,9.629100112915038
77856000,-20.0,-10.275899887084961,9.629100112915038
78106000,-20.0,-10.24778938293457,9.657210617065429
78106000,-20.0,-10.24778938293457,9.657210617065429
78356000,-20.0,-10.238459587097168,9.666540412902831
78356000,-20.0,-10.238459587097168,9.666540412902831
78606000,-20.0,-10.210637092590332,9.694362907409667
78606000,-20.0,-10.210637092590332,9.694362907409667
78606000,-20.0,-10.210637092590332,9.694362907409667
78856000,-20.0,-10.157586097717285,9.747413902282714
78856000,-20.0,-10.157586097717285,9.747413902282714
79106000,-20.0,-10.11148738861084,9.79351261138916
79106000,-20.0,-10.11148738861084,9.79351261138916
79106000,-20.0,-10.11148738861084,9.79351261138916
79356000,-20.0,-10.074697494506836,9.830302505493163
79356000,-20.0,-10.074697494506836,9.830302505493163
79606000,-20.0,-10.049531936645508,9.855468063354492
79606000,-20.0,-10.049531936645508,9.855468063354492
79606000,-20.0,-10.049531936645508,9.855468063354492
79856000,-20.0,-10.032670021057129,9.87232997894287
79856000,-20.0,-10.032670021057129,9.87232997894287
80106000,-20.0,-10.039800643920898,9.865199356079101
80106000,-20.0,-10.039800643920898,9.865199356079101
80106000,-20.0,-10.039800643920898,9.865199356079101
80356000,-20.0,-10.012186050415039,9.89281394958496
80356000,-20.0,-10.012186050415039,9.89281394958496
80606000,-20.0,-9.982166290283203,9.922833709716796
80606000,-20.0,-9.982166290283203,9.922833709716796
80606000,-20.0,-9.982166290283203,9.922833709716796
80858000,-20.0,-9.931802749633789,9.97319725036621
80858000,-20.0,-9.931802749633789,9.97319725036621
81106000,-20.0,-9.887813568115234,10.017186431884765
81106000,-20.0,-9.887813568115234,10.017186431884765
81106000,-20.0,-9.887813568115234,10.017186431884765
81356000,-20.0,-9.891550064086914,10.013449935913085
81356000,-20.0,-9.891550064086914,10.013449935913085
81606000,-20.0,-9.888032913208008,10.016967086791992
81606000,-20.0,-9.888032913208008,10.016967086791992
81856000,-20.0,-9.866273880004883,10.038726119995117
81856000,-20.0,-9.866273880004883,10.038726119995117
81856000,-20.0,-9.866273880004883,10.038726119995117
82106000,-20.0,-9.852971076965332,10.052028923034667
82106000,-20.0,-9.852971076965332,10.052028923034667
82356000,-20.0,-9.85155200958252,10.05344799041748
82356000,-20.0,-9.85155200958252,10.05344799041748
82356000,-20.0,-9.85155200958252,10.05344799041748
82606000,-20.0,-9.809112548828125,10.095887451171874
82606000,-20.0,-9.809112548828125,10.095887451171874
82856000,-20.0,-9.770294189453125,10.134705810546874
82856000,-20.0,-9.770294189453125,10.134705810546874
82856000,-20.0,-9.770294189453125,10.134705810546874
83106000,-20.0,-9.739447593688965,10.165552406311035
83106000,-20.0,-9.739447593688965,10.165552406311035
83356000,-20.0,-9.709284782409668,10.195715217590331
83356000,-20.0,-9.709284782409668,10.195715217590331
83356000,-20.0,-9.709284782409668,10.195715217590331
83606000,-16.0,-9.693092346191406,6.211907653808594
83606000,-16.0,-9.693092346191406,6.211907653808594
83856000,-16.0,-9.665513038635254,6.239486961364746
83856000,-16.0,-9.665513038635254,6.239486961364746
84106000,-16.0,-9.638760566711426,6.2662394332885745
84106000,-16.0,-9.638760566711426,6.2662394332885745
