timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1678293341.12003183,32133808,0.0,0.0,0.5,0.5,0.0,-0.19448556005954742,0.007549426052719355,0.0,0.0,0.0,0,2
1678293341.21999192,32233768,0.0,0.0,0.5,0.5,0.0,-0.18044288456439972,-0.32434073090553284,0.0,0.0,0.0,0,3
1678293341.31995201,32333728,0.0,0.0,0.5,0.5,0.0,-0.17294877767562866,-0.35281050205230713,0.0,0.0,0.0,0,4
1678293341.41991186,32433688,0.0,0.0,0.5,0.5,0.0,-0.17649564146995544,-0.3269268274307251,0.0,0.0,0.0,0,3
1678293341.51987195,32533648,0.0,0.0,0.5,0.5,0.0,-0.18709519505500793,-0.2562990188598633,0.0,0.0,0.0,0,2
1678293341.61983204,32633608,0.0,0.0,0.5,0.5,0.0,-0.1987258493900299,-0.18112164735794067,0.0,0.0,0.0,0,1
1678293341.71979189,32733568,0.0,0.0,0.5,0.5,0.0,-0.20618247985839844,-0.38473016023635864,0.0,0.0,0.0,0,0
1678293341.81975198,32833528,0.0,0.0,0.5,0.5,0.0,-0.21874302625656128,-0.11680285632610321,0.0,0.0,0.0,0,0
1678293341.91971183,32933488,0.0,0.0,0.5,0.5,0.0,-0.22497254610061646,-0.20625358819961548,0.0,0.0,0.0,0,0
1678293342.01967192,33033448,0.0,0.0,0.5,0.5,0.0,-0.2268485575914383,-0.17904096841812134,0.0,0.0,0.0,0,0
1678293342.11963201,33133408,0.0,0.0,0.5,0.5,0.0,-0.22587846219539642,-0.016435746103525162,0.0,0.0,0.0,0,0
1678293342.21959186,33233368,0.0,0.0,0.5,0.5,0.0,-0.21580913662910461,-0.06539779901504517,0.0,0.0,0.0,0,0
1678293342.31955194,33333328,0.0,0.0,0.5,0.5,0.0,-0.19809533655643463,-0.1628304421901703,0.0,0.0,0.0,0,2
1678293342.41951203,33433288,0.0,0.0,0.5,0.5,0.0,-0.18054255843162537,-0.15156887471675873,0.0,0.0,0.0,0,3
1678293342.51947188,33533248,0.0,0.0,0.5,0.5,0.0,-0.16551421582698822,-0.22555245459079742,0.0,0.0,0.0,0,4
1678293342.61943197,33633208,0.0,0.0,0.5,0.5,0.0,-0.15559150278568268,-0.05366230756044388,0.0,0.0,0.0,0,4
1678293342.71939182,33733168,0.0,0.0,0.5,0.5,0.0,-0.14459094405174255,-0.21946628391742706,0.0,0.0,0.0,0,5
1678293342.81935191,33833128,0.0,0.0,0.5,0.5,0.0,-0.13611941039562225,-0.022472497075796127,0.0,0.0,0.0,0,5
1678293342.91931200,33933088,0.0,0.0,0.5,0.5,0.0,-0.12558618187904358,-0.38422393798828125,0.0,0.0,0.0,0,5
1678293343.01927185,34033048,0.0,0.0,0.5,0.5,0.0,-0.12457726150751114,-0.15186303853988647,0.0,0.0,0.0,0,3
1678293343.12006497,34133841,0.0,0.0,0.5,0.5,0.0,-0.12969911098480225,-0.03804248943924904,0.0,0.0,0.0,0,3
1678293343.22002482,34233801,0.0,0.0,0.5,0.5,0.0,-0.1290569007396698,-0.13043805956840515,0.0,0.0,0.0,0,3
1678293343.31998491,34333761,0.0,0.0,0.5,0.5,0.0,-0.12543635070323944,-0.2179308831691742,0.0,0.0,0.0,0,3
1678293343.41994500,34433721,0.0,0.0,0.5,0.5,0.0,-0.12522894144058228,-0.1466362476348877,0.0,0.0,0.0,0,3
1678293343.51990485,34533681,0.0,0.0,0.5,0.5,0.0,-0.12662895023822784,0.010259885340929031,0.0,0.0,0.0,0,2
1678293343.61986494,34633641,0.0,0.0,0.5,0.5,0.0,-0.12153466045856476,-0.04350167512893677,0.0,0.0,0.0,0,3
1678293343.71982503,34733601,0.0,0.0,0.5,0.5,0.0,-0.1107654869556427,-0.2364373356103897,0.0,0.0,0.0,0,3
1678293343.81978488,34833561,0.0,0.0,0.5,0.5,0.0,-0.10506630688905716,-0.26330915093421936,0.0,0.0,0.0,0,4
1678293343.91974497,34933521,0.0,0.0,0.5,0.5,0.0,-0.10847604274749756,-0.356847882270813,0.0,0.0,0.0,0,3
1678293344.01970482,35033481,0.0,0.0,0.5,0.5,0.0,-0.12258687615394592,-0.11482422053813934,0.0,0.0,0.0,0,2
1678293344.11966491,35133441,0.0,0.0,0.5,0.5,0.0,-0.13640832901000977,-0.20180922746658325,0.0,0.0,0.0,0,0
1678293344.21962500,35233401,0.0,0.0,0.5,0.5,0.0,-0.14772099256515503,-0.145210862159729,0.0,0.0,0.0,0,0
1678293344.31958485,35333361,0.0,0.0,0.5,0.5,0.0,-0.15643297135829926,-0.18655771017074585,0.0,0.0,0.0,0,0
1678293344.41954494,35433321,0.0,0.0,0.5,0.5,0.0,-0.163392573595047,-0.05862324684858322,0.0,0.0,0.0,0,0
1678293344.51950502,35533281,0.0,0.0,0.5,0.5,0.0,-0.16473916172981262,-0.3958709239959717,0.0,0.0,0.0,0,0
1678293344.61946487,35633241,0.0,0.0,0.5,0.5,0.0,-0.1725168377161026,-0.0875047817826271,0.0,0.0,0.0,0,-1
1678293344.71942496,35733201,0.0,0.0,0.5,0.5,0.0,-0.1797809600830078,-0.35151228308677673,0.0,0.0,0.0,0,-1
1678293344.81938505,35833161,0.0,0.0,0.5,0.5,0.0,-0.19016939401626587,-0.18719308078289032,0.0,0.0,0.0,0,-2
1678293344.91934490,35933121,0.0,0.0,0.5,0.5,0.0,-0.20155975222587585,-0.3574039340019226,0.0,0.0,0.0,0,-2
1678293345.01930499,36033081,0.0,0.0,0.5,0.5,0.0,-0.21640144288539886,-0.2504017949104309,0.0,0.0,0.0,0,-3
1678293345.11926484,36133041,0.0,0.0,0.5,0.5,0.0,-0.2325507551431656,-0.22558793425559998,0.0,0.0,0.0,0,-4
1678293345.22005796,36233834,0.0,0.0,0.5,0.5,0.0,-0.24580815434455872,-0.1170862540602684,0.0,0.0,0.0,0,-5
1678293345.32001805,36333794,0.0,0.0,0.5,0.5,0.0,-0.25150060653686523,-0.04142378643155098,0.0,0.0,0.0,0,-5
