timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1685905056.56001592,35571599,0.0,0.0,0.5,0.5,0.0,-0.1376984566450119,-0.36103636026382446,0.0,0.0,0.0,0,3
1685905056.65997601,35671559,0.0,0.0,0.5,0.5,0.0,-0.13032081723213196,-0.31252551078796387,0.0,0.0,0.0,0,3
1685905056.75993586,35771519,0.0,0.0,0.5,0.5,0.0,-0.12612830102443695,-0.12909598648548126,0.0,0.0,0.0,0,3
1685905056.85989594,35871479,0.0,0.0,0.5,0.5,0.0,-0.13431128859519958,-0.14071747660636902,0.0,0.0,0.0,0,2
1685905056.95985579,35971439,0.0,0.0,0.5,0.5,0.0,-0.14500878751277924,-0.20438696444034576,0.0,0.0,0.0,0,1
1685905057.05981588,36071399,0.0,0.0,0.5,0.5,0.0,-0.1510455459356308,-0.3024936318397522,0.0,0.0,0.0,0,1
1685905057.15977597,36171359,0.0,0.0,0.5,0.5,0.0,-0.1555735170841217,-0.08356744050979614,0.0,0.0,0.0,0,1
1685905057.25973582,36271319,0.0,0.0,0.5,0.5,0.0,-0.16338235139846802,-0.2080819457769394,0.0,0.0,0.0,0,0
1685905057.35969591,36371279,0.0,0.0,0.5,0.5,0.0,-0.17191991209983826,-0.23207987844944,0.0,0.0,0.0,0,0
1685905057.45965600,36471239,0.0,0.0,0.5,0.5,0.0,-0.17530930042266846,-0.1434972882270813,0.0,0.0,0.0,0,0
1685905057.55961585,36571199,0.0,0.0,0.5,0.5,0.0,-0.1803121119737625,-0.19556361436843872,0.0,0.0,0.0,0,0
1685905057.65957594,36671159,0.0,0.0,0.5,0.5,0.0,-0.18410153687000275,-0.2984534502029419,0.0,0.0,0.0,0,0
1685905057.75953603,36771119,0.0,0.0,0.5,0.5,0.0,-0.18606504797935486,-0.0975358709692955,0.0,0.0,0.0,0,0
1685905057.85949588,36871079,0.0,0.0,0.47874999046325684,0.5,0.0,-0.19136133790016174,-0.06819674372673035,0.0,0.0,0.0,0,0
1685905057.95945597,36971039,0.0,0.0,0.25,0.5,0.0,-0.19935885071754456,-0.38500240445137024,0.0,0.0,0.0,0,-13
1685905058.05941582,37070999,0.0,0.0,0.25,0.5,0.0,-0.2195114642381668,-0.43697306513786316,0.0,0.0,0.0,0,-33
1685905058.15937591,37170959,0.0,0.0,0.25,0.5,0.0,-0.2605228126049042,-0.2546364665031433,0.0,0.0,0.0,0,-47
1685905058.25933599,37270919,0.0,0.0,0.25,0.5,0.0,-0.32455623149871826,-0.16400431096553802,0.0,0.0,0.0,0,-55
1685905058.35929585,37370879,0.0,0.0,0.25,0.5,0.0,-0.3970669209957123,-0.36425623297691345,0.0,0.0,0.0,0,-60
1685905058.45925593,37470839,0.0,0.0,0.25,0.5,0.0,-0.463836133480072,-0.5391470193862915,0.0,0.0,0.0,0,-62
1685905058.55921602,37570799,0.0,0.0,0.25,0.5,0.0,-0.5263639688491821,-0.5098931789398193,0.0,0.0,0.0,0,-62
1685905058.66000891,37671592,0.0,0.0,0.25,0.5,0.0,-0.5935275554656982,-0.45659199357032776,0.0,0.0,0.0,0,-63
1685905058.75996900,37771552,0.0,0.0,0.25,0.5,0.0,-0.6631561517715454,-0.7799904346466064,0.0,0.0,0.0,0,-64
1685905058.85992885,37871512,0.0,0.0,0.25,0.5,0.0,-0.7286125421524048,-0.5242546200752258,0.0,0.0,0.0,0,-64
1685905058.95988894,37971472,0.0,0.0,0.25,0.5,0.0,-0.7946144342422485,-0.7243136167526245,0.0,0.0,0.0,0,-64
1685905059.05984902,38071432,0.0,0.0,0.25,0.5,0.0,-0.8611305356025696,-0.8609765768051147,0.0,0.0,0.0,0,-64
1685905059.15980887,38171392,0.0,0.0,0.25,0.5,0.0,-0.9203957915306091,-0.872065544128418,0.0,0.0,0.0,0,-64
1685905059.25976896,38271352,0.0,0.0,0.25,0.5,0.0,-0.9810903668403625,-0.864237904548645,0.0,0.0,0.0,0,-64
1685905059.35972881,38371312,0.0,0.0,0.25,0.5,0.0,-1.0441629886627197,-0.9746922850608826,0.0,0.0,0.0,0,-64
1685905059.45968890,38471272,0.0,0.0,0.25,0.5,0.0,-1.1059324741363525,-1.090404987335205,0.0,0.0,0.0,0,-63
1685905059.55964899,38571232,0.0,0.0,0.25,0.5,0.0,-1.1645711660385132,-0.9441134929656982,0.0,0.0,0.0,0,-63
1685905059.65960884,38671192,0.0,0.0,0.25,0.5,0.0,-1.2244616746902466,-1.2113902568817139,0.0,0.0,0.0,0,-63
1685905059.75956893,38771152,0.0,0.0,0.25,0.5,0.0,-1.2822307348251343,-1.3709216117858887,0.0,0.0,0.0,0,-63
1685905059.85952902,38871112,0.0,0.0,0.25,0.5,0.0,-1.3360079526901245,-1.1178611516952515,0.0,0.0,0.0,0,-62
1685905059.95948887,38971072,0.0,0.0,0.25,0.5,0.0,-1.3969517946243286,-1.5827159881591797,0.0,0.0,0.0,0,-62
1685905060.05944896,39071032,0.0,0.0,0.25,0.5,0.0,-1.4589694738388062,-1.4880810976028442,0.0,0.0,0.0,0,-62
1685905060.15940881,39170992,0.0,0.0,0.25,0.5,0.0,-1.5201321840286255,-1.379895567893982,0.0,0.0,0.0,0,-62
1685905060.25936890,39270952,0.0,0.0,0.25,0.5,0.0,-1.591647744178772,-1.5895823240280151,0.0,0.0,0.0,0,-63
1685905060.35932899,39370912,0.0,0.0,0.25,0.5,0.0,-1.660392165184021,-1.636306643486023,0.0,0.0,0.0,0,-63
1685905060.45928884,39470872,0.0,0.0,0.25,0.5,0.0,-1.724483847618103,-1.7297807931900024,0.0,0.0,0.0,0,-63
1685905060.55924892,39570832,0.0,0.0,0.25,0.5,0.0,-1.790054202079773,-1.8768614530563354,0.0,0.0,0.0,0,-64
1685905060.65920901,39670792,0.0,0.0,0.25,0.5,0.0,-1.8565683364868164,-1.9364054203033447,0.0,0.0,0.0,0,-64
1685905060.76000190,39771585,0.0,0.0,0.25,0.5,0.0,-1.9284900426864624,-2.055882453918457,0.0,0.0,0.0,0,-64
1685905060.85996199,39871545,0.0,0.0,0.25,0.5,0.0,-2.004549264907837,-1.7977160215377808,0.0,0.0,0.0,0,-65
1685905060.95992184,39971505,0.0,0.0,0.25,0.5,0.0,-2.0856146812438965,-1.8881441354751587,0.0,0.0,0.0,0,-67
1685905061.05988193,40071465,0.0,0.0,0.25,0.5,0.0,-2.1614139080047607,-1.8878483772277832,0.0,0.0,0.0,0,-67
1685905061.15984201,40171425,0.0,0.0,0.25,0.5,0.0,-2.2241787910461426,-2.278639078140259,0.0,0.0,0.0,0,-67
1685905061.25980186,40271385,0.0,0.0,0.25,0.5,0.0,-2.2770893573760986,-2.0070455074310303,0.0,0.0,0.0,0,-66
1685905061.35976195,40371345,0.0,0.0,0.25,0.5,0.0,-2.330883502960205,-2.3628993034362793,0.0,0.0,0.0,0,-65
1685905061.45972180,40471305,0.0,0.0,0.25,0.5,0.0,-2.384262800216675,-2.1613314151763916,0.0,0.0,0.0,0,-64
1685905061.55968189,40571265,0.0,0.0,0.25,0.5,0.0,-2.4379467964172363,-2.1730141639709473,0.0,0.0,0.0,0,-63
1685905061.65964198,40671225,0.0,0.0,0.25,0.5,0.0,-2.491447925567627,-2.6348111629486084,0.0,0.0,0.0,0,-62
1685905061.75960183,40771185,0.0,0.0,0.25,0.5,0.0,-2.536428928375244,-2.3613393306732178,0.0,0.0,0.0,0,-61
1685905061.85956192,40871145,0.0,0.0,0.25,0.5,0.0,-2.587021589279175,-2.396885395050049,0.0,0.0,0.0,0,-61
