TimeUS,terrain_z,sub_z,rf
59108000,-20.0,-10.37496700278583,9.53003299721417
59209000,-20.0,-10.373191065619732,9.531808934380267
59310000,-20.0,-10.372364649147281,9.532635350852718
59413000,-20.0,-10.3715088009056,9.5334911990944
59513000,-20.0,-10.370623685053907,9.534376314946092
59617000,-20.0,-10.369709370740258,9.535290629259741
59717000,-20.0,-10.359580297273467,9.545419702726532
59818000,-20.0,-10.343329685158963,9.561670314841036
59922000,-20.0,-10.327263171090843,9.577736828909156
60022000,-20.0,-10.316519867272715,9.588480132727284
60126000,-20.0,-10.305447059468404,9.599552940531595
60226000,-20.0,-10.295262325242168,9.609737674757831
60326000,-20.0,-10.288589617335871,9.616410382664128
60435000,-20.0,-10.2796955624439,9.6253044375561
60536000,-20.0,-10.264325105209805,9.640674894790195
60642000,-20.0,-10.24810951864057,9.65689048135943
60742000,-20.0,-10.233060776437595,9.671939223562404
60843000,-20.0,-10.219030518397295,9.685969481602704
60952000,-20.0,-10.20672397625077,9.69827602374923
61052000,-20.0,-10.203326142689162,9.701673857310837
61166000,-20.0,-10.199500267707078,9.705499732292921
61266000,-20.0,-10.19651451322745,9.708485486772549
61380000,-20.0,-10.194058369858649,9.71094163014135
61480000,-20.0,-10.191248447779303,9.713751552220696
61581000,-20.0,-10.187479664096825,9.717520335903174
61685000,-20.0,-10.183561736431168,9.721438263568832
61786000,-20.0,-10.18433103045604,9.72066896954396
61895000,-20.0,-10.193887029793151,9.711112970206848
61996000,-20.0,-10.207386153200478,9.697613846799522
62096000,-20.0,-10.230383135161071,9.674616864838928
62200000,-20.0,-10.254382756063102,9.650617243936898
62300000,-20.0,-10.279447308623375,9.625552691376624
62403000,-20.0,-10.305233760935545,9.599766239064454
62503000,-20.0,-10.33004437639712,9.574955623602879
62604000,-20.0,-10.35378906309308,9.55121093690692
62707000,-20.0,-10.376370128429718,9.528629871570281
62807000,-20.0,-10.38767657511173,9.51732342488827
62911000,-20.0,-10.399395633054029,9.50560436694597
63011000,-20.0,-10.410735428937688,9.494264571062311
63115000,-20.0,-10.422630243389596,9.482369756610403
63215000,-20.0,-10.431684689454485,9.473315310545514
63316000,-20.0,-10.424689677994937,9.480310322005062
63419000,-20.0,-10.417495777067044,9.487504222932955
63519000,-20.0,-10.410081732418382,9.494918267581617
63622000,-20.0,-10.399552431777385,9.505447568222614
63723000,-20.0,-10.390984777843617,9.514015222156383
63823000,-20.0,-10.39387934546461,9.51112065453539
63930000,-20.0,-10.398003895177881,9.506996104822118
64030000,-20.0,-10.407518347112811,9.497481652887188
64133000,-20.0,-10.417304344737927,9.487695655262073
64234000,-20.0,-10.425884016800646,9.479115983199353
64334000,-20.0,-10.429518243107509,9.47548175689249
64437000,-20.0,-10.434490290168736,9.470509709831264
64538000,-20.0,-10.445882133988093,9.459117866011907
64641000,-20.0,-10.457596937148317,9.447403062851683
64741000,-20.0,-10.468336546166386,9.436663453833614
64841000,-20.0,-10.474775363309538,9.430224636690461
64945000,-20.0,-10.480542553798287,9.424457446201712
65045000,-20.0,-10.479892958261674,9.425107041738325
65148000,-20.0,-10.479223746596096,9.425776253403903
65249000,-20.0,-10.477447310172623,9.427552689827376
65349000,-20.0,-10.467599822465942,9.437400177534057
65452000,-20.0,-10.45739464236645,9.447605357633549
65553000,-20.0,-10.446875529067741,9.458124470932258
65656000,-20.0,-10.436036427157006,9.468963572842993
65756000,-20.0,-10.424462668215643,9.480537331784356
65860000,-20.0,-10.40477451006311,9.50022548993689
65960000,-20.0,-10.387518083914514,9.517481916085485
66060000,-20.0,-10.38327462219384,9.52172537780616
66163000,-20.0,-10.378906159994354,9.526093840005645
66264000,-20.0,-10.375326911847633,9.529673088152366
66367000,-20.0,-10.376413764937714,9.528586235062285
66467000,-20.0,-10.375389795010891,9.529610204989108
66568000,-20.0,-10.359621065828842,9.545378934171158
66671000,-20.0,-10.343694257765378,9.561305742234621
66771000,-20.0,-10.330477995259649,9.57452200474035
66874000,-20.0,-10.31688552364371,9.588114476356289
66975000,-20.0,-10.301554600446643,9.603445399553356
67075000,-20.0,-10.270757289418599,9.6342427105814
67178000,-20.0,-10.24205356063388,9.66294643936612
67279000,-20.0,-10.23528316753181,9.66971683246819
67382000,-20.0,-10.228314534695613,9.676685465304386
67482000,-20.0,-10.22178704240916,9.68321295759084
67583000,-20.0,-10.217013282314117,9.687986717685883
67686000,-20.0,-10.212725029247329,9.69227497075267
67786000,-20.0,-10.213023259132116,9.691976740867883
67889000,-20.0,-10.213329962326952,9.691670037673047
67990000,-20.0,-10.21381474447456,9.69118525552544
68090000,-20.0,-10.215681357283586,9.689318642716414
68193000,-20.0,-10.218220492259746,9.686779507740253
68293000,-20.0,-10.225300570821737,9.679699429178262
68397000,-20.0,-10.232592919124594,9.672407080875406
68497000,-20.0,-10.240321021776584,9.664678978223415
68597000,-20.0,-10.252855597401155,9.652144402598845
68701000,-20.0,-10.264803364895316,9.640196635104683
68802000,-20.0,-10.269291780101872,9.635708219898127
68905000,-20.0,-10.27390962378381,9.63109037621619
69005000,-20.0,-10.278962968828699,9.6260370311713
69106000,-20.0,-10.287856958747339,9.61714304125266
69209000,-20.0,-10.298376880247716,9.606623119752284
69309000,-20.0,-10.317729645533056,9.587270354466943
69413000,-19.97,-10.337656599745202,9.537343400254796
69513000,-19.95,-10.358147469459505,9.496852530540494
69616000,-19.92,-10.38773868896413,9.43726131103587
