TimeUS,terrain_z,sub_z,rf
255898000,-20.0,-10.287910461425781,9.617089538574218
255898000,-20.0,-10.287910461425781,9.617089538574218
256148000,-20.0,-10.284111022949219,9.62088897705078
256148000,-20.0,-10.284111022949219,9.62088897705078
256398000,-20.0,-10.260483741760254,9.644516258239745
256398000,-20.0,-10.260483741760254,9.644516258239745
256398000,-20.0,-10.260483741760254,9.644516258239745
256648000,-20.0,-10.21581745147705,9.689182548522949
256648000,-20.0,-10.21581745147705,9.689182548522949
256898000,-20.0,-10.190823554992676,9.714176445007324
256898000,-20.0,-10.190823554992676,9.714176445007324
256898000,-20.0,-10.190823554992676,9.714176445007324
257147000,-20.0,-10.147506713867188,9.757493286132812
257147000,-20.0,-10.147506713867188,9.757493286132812
257397000,-20.0,-10.126294136047363,9.778705863952636
257397000,-20.0,-10.126294136047363,9.778705863952636
257647000,-20.0,-10.097760200500488,9.807239799499511
257647000,-20.0,-10.097760200500488,9.807239799499511
257647000,-20.0,-10.097760200500488,9.807239799499511
257897000,-20.0,-10.067106246948242,9.837893753051757
257897000,-20.0,-10.067106246948242,9.837893753051757
258148000,-20.0,-10.05178165435791,9.85321834564209
258148000,-20.0,-10.05178165435791,9.85321834564209
258148000,-20.0,-10.05178165435791,9.85321834564209
258398000,-20.0,-10.033834457397461,9.871165542602538
258398000,-20.0,-10.033834457397461,9.871165542602538
258648000,-20.0,-10.031710624694824,9.873289375305175
258648000,-20.0,-10.031710624694824,9.873289375305175
258648000,-20.0,-10.031710624694824,9.873289375305175
258898000,-20.0,-10.012112617492676,9.892887382507324
258898000,-20.0,-10.012112617492676,9.892887382507324
259147000,-20.0,-9.948410034179688,9.956589965820312
259147000,-20.0,-9.948410034179688,9.956589965820312
259397000,-20.0,-9.88857364654541,10.01642635345459
259397000,-20.0,-9.88857364654541,10.01642635345459
259397000,-20.0,-9.88857364654541,10.01642635345459
259647000,-20.0,-9.881486892700195,10.023513107299804
259647000,-20.0,-9.881486892700195,10.023513107299804
259897000,-20.0,-9.88691234588623,10.018087654113769
259897000,-20.0,-9.88691234588623,10.018087654113769
