timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1680023519.36001611,209372884,0.0,0.0,0.5,0.5,0.0,-0.2818830609321594,-0.2851395010948181,0.0,0.0,0.0,0,-3
1680023519.45997596,209472844,0.0,0.0,0.5,0.5,0.0,-0.2668391466140747,-0.05783402547240257,0.0,0.0,0.0,0,-2
1680023519.55993605,209572804,0.0,0.0,0.5,0.5,0.0,-0.2542094886302948,-0.2577012777328491,0.0,0.0,0.0,0,-1
1680023519.65989614,209672764,0.0,0.0,0.5,0.5,0.0,-0.240302175283432,-0.2982182800769806,0.0,0.0,0.0,0,0
1680023519.75985599,209772724,0.0,0.0,0.5,0.5,0.0,-0.22716599702835083,-0.3609064221382141,0.0,0.0,0.0,0,0
1680023519.85981607,209872684,0.0,0.0,0.5,0.5,0.0,-0.22094793617725372,-0.2213907092809677,0.0,0.0,0.0,0,0
1680023519.95977616,209972644,0.0,0.0,0.5,0.5,0.0,-0.22288990020751953,-0.23621651530265808,0.0,0.0,0.0,0,0
1680023520.06056905,210073437,0.0,0.0,0.5,0.5,0.0,-0.22819019854068756,-0.16455316543579102,0.0,0.0,0.0,0,0
1680023520.16052914,210173397,0.0,0.0,0.5,0.5,0.0,-0.232360377907753,-0.19297273457050323,0.0,0.0,0.0,0,0
1680023520.26048899,210273357,0.0,0.0,0.5,0.5,0.0,-0.23373305797576904,-0.20944595336914062,0.0,0.0,0.0,0,0
1680023520.36044908,210373317,0.0,0.0,0.5,0.5,0.0,-0.231723353266716,-0.3309949040412903,0.0,0.0,0.0,0,0
1680023520.46040916,210473277,0.0,0.0,0.5,0.5,0.0,-0.22850050032138824,-0.0360124371945858,0.0,0.0,0.0,0,0
1680023520.56036901,210573237,0.0,0.0,0.5,0.5,0.0,-0.22861233353614807,-0.40120893716812134,0.0,0.0,0.0,0,0
1680023520.66032910,210673197,0.0,0.0,0.5,0.5,0.0,-0.2253478467464447,-0.14141660928726196,0.0,0.0,0.0,0,0
1680023520.76028895,210773157,0.0,0.0,0.5,0.5,0.0,-0.22150196135044098,-0.023761160671710968,0.0,0.0,0.0,0,0
1680023520.86024904,210873117,0.0,0.0,0.5,0.5,0.0,-0.2229403257369995,-0.11616111546754837,0.0,0.0,0.0,0,0
1680023520.96020913,210973077,0.0,0.0,0.5,0.5,0.0,-0.2158222198486328,-0.09320791065692902,0.0,0.0,0.0,0,1
1680023521.06016898,211073037,0.0,0.0,0.5,0.5,0.0,-0.20091372728347778,-0.14859335124492645,0.0,0.0,0.0,0,2
1680023521.16012907,211172997,0.0,0.0,0.5,0.5,0.0,-0.18356779217720032,-0.12827327847480774,0.0,0.0,0.0,0,3
1680023521.26008916,211272957,0.0,0.0,0.5,0.5,0.0,-0.16534194350242615,-0.3138093948364258,0.0,0.0,0.0,0,4
1680023521.36004901,211372917,0.0,0.0,0.5,0.5,0.0,-0.14872488379478455,-0.12724609673023224,0.0,0.0,0.0,0,5
1680023521.46000910,211472877,0.0,0.0,0.5,0.5,0.0,-0.13752980530261993,-0.1776510626077652,0.0,0.0,0.0,0,6
1680023521.55996919,211572837,0.0,0.0,0.5,0.5,0.0,-0.13303619623184204,-0.4090118706226349,0.0,0.0,0.0,0,5
