,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_cm,sub_cm,rf_cm,signal_quality
2451,154998497,1705603394.89971,0.370998352766037,0.0,0.3696219623088836,0.5,-10.538290023803713,-10.5344820022583,-10.616893768310549,8.86,9.3,-19.800416946411133,-32,-31,-1974.0,-1054.631085538624,914.0,100.0
2452,155060451,1705603394.99967,0.3698457479476928,0.0,0.3680988848209381,0.5,-10.569414138793944,-10.56557846069336,-10.647921562194824,8.86,9.12,-19.823184967041016,-32,-31,-1974.0,-1054.631085538624,914.0,100.0
2453,155094254,1705603394.99967,0.3698457479476928,0.0,0.3680988848209381,0.5,-10.569414138793944,-10.56557846069336,-10.647921562194824,8.86,9.12,-19.823184967041016,-32,-31,-1976.0,-1057.6144696949707,915.0,100.0
2454,155160411,1705603395.0996299,0.3749257922172546,0.0,0.37127685546875,0.5,-10.600539207458496,-10.597094535827637,-10.6685152053833,8.86,9.12,-19.835390090942383,-32,-31,-1976.0,-1057.6144696949707,915.0,100.0
2455,155198373,1705603395.0996299,0.3749257922172546,0.0,0.37127685546875,0.5,-10.600539207458496,-10.597094535827637,-10.6685152053833,8.86,9.12,-19.835390090942383,-32,-31,-1978.0,-1060.8425720214843,920.0,100.0
2456,155260371,1705603395.19959,0.3765468597412109,0.0,0.3742139339447021,0.5,-10.631458282470703,-10.62827205657959,-10.699193954467772,8.86,9.18,-19.85838890075684,-31,-31,-1978.0,-1060.8425720214843,920.0,100.0
2457,155292370,1705603395.19959,0.3765468597412109,0.0,0.3742139339447021,0.5,-10.631458282470703,-10.62827205657959,-10.699193954467772,8.86,9.18,-19.85838890075684,-31,-31,-1980.0,-1063.756493854523,920.0,100.0
2458,155360331,1705603395.29955,0.3767526745796203,0.0,0.3753292560577392,0.5,-10.662065505981444,-10.658745765686035,-10.732049942016602,8.86,9.13,-19.87818717956543,-31,-31,-1980.0,-1063.756493854523,920.0,100.0
2459,155398999,1705603395.29955,0.3767526745796203,0.0,0.3753292560577392,0.5,-10.662065505981444,-10.658745765686035,-10.732049942016602,8.86,9.13,-19.87818717956543,-31,-31,-1982.0,-1066.9599956512443,915.0,100.0
2460,155460291,1705603395.39951,0.3786209225654602,0.0,0.3762384057044983,0.5,-10.69229507446289,-10.688437461853027,-10.763105392456056,8.86,9.14,-19.896053314208984,-31,-30,-1982.0,-1066.9599956512443,915.0,100.0
2461,155495319,1705603395.39951,0.3786209225654602,0.0,0.3762384057044983,0.5,-10.69229507446289,-10.688437461853027,-10.763105392456056,8.86,9.14,-19.896053314208984,-31,-30,-1984.0,-1069.8495716094965,915.0,100.0
2462,155560251,1705603395.49947,0.3805710971355438,0.0,0.377449631690979,0.5,-10.722054481506348,-10.718006134033203,-10.796432495117188,8.86,9.14,-19.916133880615234,-30,-30,-1984.0,-1069.8495716094965,915.0,100.0
2463,155599540,1705603395.49947,0.3805710971355438,0.0,0.377449631690979,0.5,-10.722054481506348,-10.718006134033203,-10.796432495117188,8.86,9.14,-19.916133880615234,-30,-30,-1986.0,-1072.924947357177,914.0,100.0
2464,155660211,1705603395.59943,0.3816935420036316,0.0,0.3793250024318695,0.5,-10.751302719116213,-10.747360229492188,-10.82480812072754,8.86,9.2,-19.945751190185547,-30,-30,-1986.0,-1072.924947357177,914.0,100.0
2465,155760171,1705603395.69939,0.3826193213462829,0.0,0.3804485499858856,0.5,-10.780080795288086,-10.776458740234377,-10.85206699371338,8.86,9.14,-19.970705032348636,-29,-29,-1986.0,-1072.924947357177,914.0,100.0
2466,155798617,1705603395.69939,0.3826193213462829,0.0,0.3804485499858856,0.5,-10.780080795288086,-10.776458740234377,-10.85206699371338,8.86,9.14,-19.970705032348636,-29,-29,-1988.0,-1078.7469193458558,912.0,100.0
2467,155860131,1705603395.79935,0.3862532377243042,0.0,0.3831387162208557,0.5,-10.808432579040527,-10.80538272857666,-10.88723087310791,8.86,9.14,-19.99201774597168,-29,-29,-1988.0,-1078.7469193458558,912.0,100.0
2468,155893473,1705603395.79935,0.3862532377243042,0.0,0.3831387162208557,0.5,-10.808432579040527,-10.80538272857666,-10.88723087310791,8.86,9.14,-19.99201774597168,-29,-29,-1990.0,-1081.4977371215823,905.0,100.0
2469,155960091,1705603395.89931,0.3889352977275848,0.0,0.3856335580348968,0.5,-10.836345672607422,-10.83377742767334,-10.914993286132812,8.86,9.14,-20.013866424560547,-28,-28,-1990.0,-1081.4977371215823,905.0,100.0
2470,155989222,1705603395.89931,0.3889352977275848,0.0,0.3856335580348968,0.5,-10.836345672607422,-10.83377742767334,-10.914993286132812,8.86,9.14,-20.013866424560547,-28,-28,-1992.0,-1084.1822193145751,914.0,100.0
2471,156000291,1705603395.89931,0.3889352977275848,0.0,0.3856335580348968,0.5,-10.836345672607422,-10.83377742767334,-10.914993286132812,8.86,9.14,-20.013866424560547,-28,-28,-1994.0,-1084.4921670227047,903.0,100.0
2472,156060051,1705603395.99927,0.391549289226532,0.0,0.3881222605705261,0.5,-10.863809585571287,-10.86186408996582,-10.948285102844238,8.86,9.13,-20.03559875488281,-27,-28,-1994.0,-1084.4921670227047,903.0,100.0
2473,156160011,1705603396.09923,0.394349992275238,0.0,0.3910149037837982,0.5,-10.890825271606444,-10.889698028564451,-10.971356391906738,8.86,9.05,-20.05079460144043,-27,-27,-1994.0,-1084.4921670227047,903.0,100.0
2474,156199343,1705603396.09923,0.394349992275238,0.0,0.3910149037837982,0.5,-10.890825271606444,-10.889698028564451,-10.971356391906738,8.86,9.05,-20.05079460144043,-27,-27,-1996.0,-1090.0004371965697,905.0,100.0
2475,156260804,1705603396.2000227,0.4001404643058777,0.0,0.3957751095294952,0.5,-10.917566299438477,-10.91723346710205,-10.992995262145996,8.86,9.05,-20.0627384185791,-26,-27,-1996.0,-1090.0004371965697,905.0,100.0
