TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
59691684,-1900.0,-1073.0711096763612,832,100
59798467,-1900.0,-1067.2192762374875,825,100
59894434,-1900.0,-1061.941075134277,837,100
59999467,-1900.0,-1055.8568773269653,839,100
60094980,-1900.0,-1050.3171586990359,848,100
60200368,-1900.0,-1044.204602233887,856,100
60296289,-1900.0,-1038.641237251282,864,100
60400587,-1900.0,-1032.72487131375,872,100
60599411,-1900.0,-1021.6223446846006,876,100
60693083,-1900.0,-1016.4704219818112,891,100
60790874,-1900.0,-1011.2776551246642,894,100
60800480,-1900.0,-1010.7685331344605,890,100
60998364,-1900.0,-1000.7323116645814,905,100
61092757,-1900.0,-996.1542851314543,903,100
61198338,-1900.0,-991.5133219043213,906,100
61293405,-1900.0,-987.3571670608903,913,100
61400433,-1900.0,-983.5281204223631,913,100
61598544,-1900.0,-977.0536514282228,927,100
61695404,-1900.0,-974.1478534698488,926,100
61789166,-1900.0,-971.9340912818909,925,100
61798326,-1900.0,-971.7188370227813,923,100
61998617,-1900.0,-967.6724955558777,933,100
62093804,-1900.0,-966.0543295860291,930,100
62199420,-1900.0,-965.1294257678986,934,100
62293465,-1900.0,-964.3300459423067,935,100
62399356,-1900.0,-964.1472296643612,935,100
62494585,-1900.0,-964.0050966063543,933,100
62600295,-1900.0,-964.5626278400421,943,100
62802415,-1900.0,-966.3529918670655,939,100
62897542,-1900.0,-967.4945056915284,932,100
62993500,-1900.0,-969.0280136108399,935,100
63002291,-1900.0,-969.1686645507813,929,100
63198351,-1900.0,-972.6568607501985,929,100
63294053,-1900.0,-974.5230344944001,930,100
63398334,-1900.0,-976.8688743840512,920,100
63493344,-1900.0,-979.0173480661672,922,100
63598347,-1900.0,-981.6336885452271,917,100
63798446,-1900.0,-986.8390486717223,903,100
63893061,-1900.0,-989.3936660766601,906,100
63989037,-1900.0,-992.1230710983274,910,100
63998712,-1900.0,-992.3988011837004,901,100
64198557,-1900.0,-998.1451769828797,898,100
64293683,-1900.0,-1000.9038353919983,896,100
64399364,-1900.0,-1003.8150294685362,894,100
64493293,-1900.0,-1006.3980718517302,892,100
64599334,-1900.0,-1009.0456384877067,884,100
64695563,-1900.0,-1011.4393966067487,892,100
64800231,-1900.0,-1013.9024425506593,889,100
64894786,-1900.0,-1016.1244939327241,887,100
64999343,-1900.0,-1018.4295515060427,874,100
65094366,-1900.0,-1020.5200609207154,879,100
65201742,-1900.0,-1022.7267139835357,876,100
65399536,-1900.0,-1026.4347910013632,877,100
65496696,-1900.0,-1028.0948168998987,874,100
65591033,-1900.0,-1029.4164640426636,868,100
65599647,-1900.0,-1029.5370702743533,875,100
65799828,-1900.0,-1032.0311093330383,871,100
65896602,-1900.0,-1033.0956244468687,874,100
66001368,-1900.0,-1033.9871346473692,860,100
66198497,-1900.0,-1035.3074887275695,864,100
66292705,-1900.0,-1035.7785275459291,864,100
66388106,-1900.0,-1035.8911063194275,856,100
66400386,-1900.0,-1035.9033860931395,868,100
66599330,-1900.0,-1035.745446826688,863,100
66695731,-1900.0,-1035.5056439964333,855,100
66799356,-1900.0,-1034.9932193756104,854,100
66894392,-1900.0,-1034.518039226532,868,100
66999326,-1900.0,-1033.8413804531097,876,100
67198441,-1900.0,-1032.3964643554689,861,100
67293117,-1900.0,-1031.6390600280763,873,100
67388209,-1900.0,-1030.6933737059933,867,100
67398377,-1900.0,-1030.5911800748738,860,100
67598493,-1900.0,-1028.4328252792357,868,100
67694752,-1900.0,-1027.3258454322813,880,100
67789119,-1900.0,-1026.0563918590544,873,100
67799304,-1900.0,-1025.9188885211947,873,100
67998519,-1900.0,-1023.1787311553957,867,100
68094413,-1900.0,-1021.8362104415895,875,100
68199441,-1900.0,-1020.4170345783234,880,100
68293666,-1900.0,-1019.1449980258941,881,100
68399077,-1900.0,-1017.6709205627441,878,100
68494439,-1900.0,-1016.3358499526977,888,100
68601257,-1900.0,-1014.9446554298402,879,100
68799459,-1902.0,-1012.3236834397956,887,100
68893538,-1904.0,-1011.0599354416574,897,100
68999471,-1905.9999999999998,-1009.7316000461578,891,100
69094435,-1907.9999999999998,-1008.544561624527,903,100
69199373,-1910.0000000000002,-1007.3342071533202,906,100
69294430,-1912.0,-1006.2410460472106,911,100
69398841,-1914.0,-1005.0907482490538,916,100
69494319,-1916.0,-1004.0404896125794,911,100
69598403,-1918.0,-1003.1422830955468,917,100
69798527,-1920.0,-1001.944652748108,912,100
69892357,-1922.0,-1001.6162473678589,917,100
69986934,-1923.9999999999998,-1001.7349020957946,921,100
69999450,-1926.0000000000002,-1001.753675699234,924,100
70198536,-1928.0,-1002.306145477295,927,100
70294121,-1930.0,-1002.6884868621828,925,100
70398364,-1932.0,-1003.3588706016541,921,100
70495374,-1934.0,-1003.9894364833833,934,100
70600570,-1936.0,-1004.880350347519,939,100
70801034,-1938.0,-1006.8386818539444,926,100
70897108,-1939.9999999999998,-1007.8902444336545,943,100
70990526,-1942.0000000000002,-1009.3804290771485,930,100
71002008,-1944.0000000000002,-1009.5641326904298,931,100
71200364,-1946.0,-1013.0961103916171,927,100
71296563,-1948.0,-1014.9719915866854,932,100
71398360,-1950.0,-1017.3584697856904,927,100
71493542,-1952.0,-1019.5952454223635,929,100
71599373,-1954.0,-1022.3489484240663,925,100
71697331,-1955.9999999999998,-1024.9089581489566,933,100
71800952,-1957.9999999999998,-1027.7067175865172,929,100
71998330,-1960.0000000000002,-1033.086585330963,923,100
72091924,-1962.0,-1035.6604223728177,928,100
72199785,-1964.0,-1038.8321635723114,926,100
72297512,-1966.0,-1041.7161288738253,922,100
72399536,-1968.0,-1044.9298933506016,924,100
72598514,-1970.0,-1051.197719717026,919,100
72692087,-1972.0,-1054.1452571392063,917,100
72790204,-1973.9999999999998,-1057.1427488327029,916,100
72802124,-1976.0000000000002,-1057.5062870197296,924,100
73000347,-1978.0,-1063.5364157358808,918,100
73097512,-1980.0,-1066.4851930912457,915,100
